game_number,game_date,day_of_week,game_time_local,is_home_game,venue,series_number,day_night,home,away,home_game_number
63,2021-06-06,Sun,01:07 PM,0,Angel Stadium,4,day,Los Angeles Angels,Seattle Mariners,
64,2021-06-08,Tue,04:10 PM,0,Comerica Park,1,night,Detroit Tigers,Seattle Mariners,
65,2021-06-09,Wed,04:10 PM,0,Comerica Park,2,night,Detroit Tigers,Seattle Mariners,
66,2021-06-10,Thu,10:10 AM,0,Comerica Park,3,day,Detroit Tigers,Seattle Mariners,
67,2021-06-11,Fri,04:10 PM,0,Progressive Field,1,night,Cleveland Indians,Seattle Mariners,
68,2021-06-12,Sat,01:10 PM,0,Progressive Field,2,day,Cleveland Indians,Seattle Mariners,
69,2021-06-13,Sun,10:10 AM,0,Progressive Field,3,day,Cleveland Indians,Seattle Mariners,
70,2021-06-14,Mon,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Minnesota Twins,32
71,2021-06-15,Tue,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Minnesota Twins,33
72,2021-06-16,Wed,07:10 PM,1,T-Mobile Park,3,night,Seattle Mariners,Minnesota Twins,34
73,2021-06-17,Thu,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Tampa Bay Rays,35
74,2021-06-18,Fri,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Tampa Bay Rays,36
75,2021-06-19,Sat,07:10 PM,1,T-Mobile Park,3,night,Seattle Mariners,Tampa Bay Rays,37
76,2021-06-20,Sun,01:10 PM,1,T-Mobile Park,4,day,Seattle Mariners,Tampa Bay Rays,38
77,2021-06-22,Tue,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Colorado Rockies,39
78,2021-06-23,Wed,01:10 PM,1,T-Mobile Park,2,day,Seattle Mariners,Colorado Rockies,40
79,2021-06-25,Fri,05:10 PM,0,Guaranteed Rate Field,1,night,Chicago White Sox,Seattle Mariners,
80,2021-06-26,Sat,11:10 AM,0,Guaranteed Rate Field,2,day,Chicago White Sox,Seattle Mariners,
81,2021-06-27,Sun,11:10 AM,0,Guaranteed Rate Field,3,day,Chicago White Sox,Seattle Mariners,
